term,language,type,decade,count
vita,Italian,common_term,1750,360
gottes,German,common_term,1750,411
holy,English,common_term,1750,1295
vie,French,common_term,1750,608
doctoris,Latin,common_term,1750,120
sancti,Latin,common_term,1750,242
guerre,French,common_term,1750,415
vida,Spanish,common_term,1750,284
historia,Spanish,common_term,1750,178
andere,Dutch,common_term,1750,46
reichs,German,common_term,1750,127
morte,Italian,common_term,1750,55
vie,French,common_term,1760,605
holy,English,common_term,1760,1575
vida,Spanish,common_term,1760,254
man,English,common_term,1760,1772
historia,Spanish,common_term,1760,213
vita,Italian,common_term,1760,340
guerre,French,common_term,1760,220
doctoris,Latin,common_term,1760,151
sancti,Latin,common_term,1760,145
reichs,German,common_term,1760,93
gottes,German,common_term,1760,361
heeren,Dutch,common_term,1760,112
morte,Italian,common_term,1760,121
andere,Dutch,common_term,1760,52
man,English,common_term,1770,2041
holy,English,common_term,1770,1416
vie,French,common_term,1770,713
doctoris,Latin,common_term,1770,161
guerre,French,common_term,1770,264
gottes,German,common_term,1770,387
vida,Spanish,common_term,1770,188
reichs,German,common_term,1770,217
sancti,Latin,common_term,1770,120
morte,Italian,common_term,1770,56
vita,Italian,common_term,1770,290
historia,Spanish,common_term,1770,356
heeren,Dutch,common_term,1770,149
andere,Dutch,common_term,1770,74
reichs,German,common_term,1780,158
vie,French,common_term,1780,1456
holy,English,common_term,1780,1459
gottes,German,common_term,1780,364
sancti,Latin,common_term,1780,139
man,English,common_term,1780,1822
historia,Spanish,common_term,1780,495
heeren,Dutch,common_term,1780,271
guerre,French,common_term,1780,565
doctoris,Latin,common_term,1780,198
vita,Italian,common_term,1780,379
vida,Spanish,common_term,1780,262
morte,Italian,common_term,1780,91
andere,Dutch,common_term,1780,76
guerre,French,common_term,1790,2324
andere,Dutch,common_term,1790,73
holy,English,common_term,1790,2663
man,English,common_term,1790,5088
heeren,Dutch,common_term,1790,120
vie,French,common_term,1790,1391
gottes,German,common_term,1790,217
historia,Spanish,common_term,1790,408
morte,Italian,common_term,1790,172
vida,Spanish,common_term,1790,227
doctoris,Latin,common_term,1790,125
reichs,German,common_term,1790,151
vita,Italian,common_term,1790,364
sancti,Latin,common_term,1790,88
vie,French,common_term,17u0,64
historia,Spanish,common_term,17u0,45
man,English,common_term,17u0,65
vita,Italian,common_term,17u0,20
vida,Spanish,common_term,17u0,55
gottes,German,common_term,17u0,14
holy,English,common_term,17u0,30
andere,Dutch,common_term,17u0,10
morte,Italian,common_term,17u0,4
guerre,French,common_term,17u0,10
heeren,Dutch,common_term,17u0,5
sancti,Latin,common_term,17u0,6
reichs,German,common_term,17u0,4
man,English,common_term,1800,601
holy,English,common_term,1800,469
guerre,French,common_term,1800,61
vie,French,common_term,1800,175
vita,Italian,common_term,1800,19
historia,Spanish,common_term,1800,49
morte,Italian,common_term,1800,12
vida,Spanish,common_term,1800,44
sancti,Latin,common_term,1800,14
doctoris,Latin,common_term,1800,21
reichs,German,common_term,1800,11
gottes,German,common_term,1800,16
andere,Dutch,common_term,1800,14
heeren,Dutch,common_term,1800,1
