term	language	type	decade	count
science	Latin	search_term	1600	26
right	French	search_term	1600	39
justice	Spanish	search_term	1600	12
republic	Italian	search_term	1600	1
republic	Spanish	search_term	1600	12
right	Spanish	search_term	1600	19
monarchy	English	search_term	1600	24
law	Italian	search_term	1600	16
republic	French	search_term	1600	14
nation, people	Italian	search_term	1600	8
Enlightenment	French	search_term	1600	24
justice	French	search_term	1600	29
science	French	search_term	1600	15
law	French	search_term	1600	10
monarchy	Latin	search_term	1600	10
monarchy	Spanish	search_term	1600	4
right	Dutch	search_term	1600	22
law	Dutch	search_term	1600	20
science	Italian	search_term	1600	21
justice	German	search_term	1600	6
nation, people	Dutch	search_term	1600	4
justice	English	search_term	1600	20
nation, people	Latin	search_term	1600	1
science	English	search_term	1600	2
monarchy	French	search_term	1600	2
violence	German	search_term	1600	2
science	Spanish	search_term	1600	1
state	Latin	search_term	1600	6
justice	Latin	search_term	1600	10
monarchy	German	search_term	1600	1
king, queen	German	search_term	1600	3
philosophy	Spanish	search_term	1600	3
philosophy	English	search_term	1600	2
violence	English	search_term	1600	2
right	Italian	search_term	1600	1
violence	Latin	search_term	1600	1
reichs	German	common_term	1600	60
vita	Italian	common_term	1600	217
doctoris	Latin	common_term	1600	287
historia	Spanish	common_term	1600	231
man	English	common_term	1600	515
vida	Spanish	common_term	1600	117
morte	Italian	common_term	1600	104
andere	Dutch	common_term	1600	76
heeren	Dutch	common_term	1600	262
sancti	Latin	common_term	1600	193
holy	English	common_term	1600	575
gottes	German	common_term	1600	155
guerre	French	common_term	1600	65
vie	French	common_term	1600	174
philosophy	Spanish	search_term	1610	15
king, queen	English	search_term	1610	2475
king, queen	Latin	search_term	1610	681
science	English	search_term	1610	18
king, queen	French	search_term	1610	66
state	English	search_term	1610	344
philosophy	French	search_term	1610	59
law	English	search_term	1610	125
law	Italian	search_term	1610	31
nation, people	English	search_term	1610	230
state	Italian	search_term	1610	78
right	English	search_term	1610	637
republic	Latin	search_term	1610	202
law	Latin	search_term	1610	158
right	Latin	search_term	1610	577
republic	English	search_term	1610	82
nation, people	French	search_term	1610	81
justice	French	search_term	1610	27
right	French	search_term	1610	48
justice	English	search_term	1610	33
right	German	search_term	1610	130
king, queen	Spanish	search_term	1610	168
philosophy	English	search_term	1610	14
violence	German	search_term	1610	17
justice	German	search_term	1610	5
monarchy	French	search_term	1610	44
Enlightenment	French	search_term	1610	32
king, queen	Italian	search_term	1610	87
state	Spanish	search_term	1610	68
law	Spanish	search_term	1610	57
justice	Italian	search_term	1610	7
republic	Spanish	search_term	1610	13
monarchy	English	search_term	1610	14
law	French	search_term	1610	7
state	French	search_term	1610	10
justice	Spanish	search_term	1610	7
right	Dutch	search_term	1610	41
monarchy	Latin	search_term	1610	45
science	Latin	search_term	1610	10
nation, people	Spanish	search_term	1610	25
science	Italian	search_term	1610	1
science	French	search_term	1610	19
science	Spanish	search_term	1610	2
science	Dutch	search_term	1610	1
king, queen	Dutch	search_term	1610	5
right	Spanish	search_term	1610	18
justice	Latin	search_term	1610	9
state	Latin	search_term	1610	9
philosophy	German	search_term	1610	2
law	Dutch	search_term	1610	31
monarchy	Dutch	search_term	1610	1
philosophy	Italian	search_term	1610	9
nation, people	Dutch	search_term	1610	3
right	Italian	search_term	1610	2
revolution	French	search_term	1610	1
violence	English	search_term	1610	8
republic	French	search_term	1610	8
nation, people	Italian	search_term	1610	12
state	German	search_term	1610	1
nation, people	Latin	search_term	1610	2
king, queen	German	search_term	1610	4
state	Dutch	search_term	1610	2
monarchy	Spanish	search_term	1610	6
violence	French	search_term	1610	3
republic	German	search_term	1610	1
monarchy	German	search_term	1610	1
man	English	common_term	1610	575
holy	English	common_term	1610	1364
reichs	German	common_term	1610	97
historia	Spanish	common_term	1610	236
andere	Dutch	common_term	1610	66
heeren	Dutch	common_term	1610	315
doctoris	Latin	common_term	1610	397
morte	Italian	common_term	1610	74
vita	Italian	common_term	1610	209
vie	French	common_term	1610	214
gottes	German	common_term	1610	157
sancti	Latin	common_term	1610	308
vida	Spanish	common_term	1610	130
guerre	French	common_term	1610	115
king, queen	English	search_term	1620	4092
law	English	search_term	1620	335
king, queen	Spanish	search_term	1620	283
